datetime,IR,VIS,WV,ir,vis,wv,delta_minutes
2025-08-29 12:46:41,C:/Users/HP/cnn/satellite_Images/IR_20250829_124641.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_124641.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_124641.jpg,,,,15.0
2025-08-29 12:56:27,C:/Users/HP/cnn/satellite_Images/IR_20250829_125627.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_125627.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_125627.jpg,,,,9.766666666666667
2025-08-29 13:23:49,C:/Users/HP/cnn/satellite_Images/IR_20250829_132349.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_132349.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_132349.jpg,,,,27.366666666666667
2025-08-29 14:17:36,C:/Users/HP/cnn/satellite_Images/IR_20250829_141736.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_141736.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_141736.jpg,,,,53.78333333333333
2025-08-29 14:34:22,C:/Users/HP/cnn/satellite_Images/IR_20250829_143422.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_143422.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_143422.jpg,,,,16.766666666666666
2025-08-29 14:46:15,C:/Users/HP/cnn/satellite_Images/IR_20250829_144615.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250829_144615.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250829_144615.jpg,,,,11.883333333333333
2025-08-30 15:31:34,C:/Users/HP/cnn/satellite_Images/IR_20250830_153134.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250830_153134.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250830_153134.jpg,,,,1485.3166666666666
2025-08-30 20:12:56,C:/Users/HP/cnn/satellite_Images/IR_20250830_201256.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250830_201256.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250830_201256.jpg,,,,281.3666666666667
2025-09-02 14:56:20,C:/Users/HP/cnn/satellite_Images/IR_20250902_145620.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250902_145620.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250902_145620.jpg,,,,4003.4
2025-09-08 09:59:33,C:/Users/HP/cnn/satellite_Images/IR_20250908_095933.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_095933.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_095933.jpg,,,,8343.216666666667
2025-09-08 10:10:23,C:/Users/HP/cnn/satellite_Images/IR_20250908_101023.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_101023.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_101023.jpg,,,,10.833333333333334
2025-09-08 10:25:24,C:/Users/HP/cnn/satellite_Images/IR_20250908_102524.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_102524.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_102524.jpg,,,,15.016666666666667
2025-09-08 10:53:04,C:/Users/HP/cnn/satellite_Images/IR_20250908_105304.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_105304.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_105304.jpg,,,,27.666666666666668
2025-09-08 12:40:23,C:/Users/HP/cnn/satellite_Images/IR_20250908_124023.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_124023.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_124023.jpg,,,,107.31666666666666
2025-09-08 12:52:30,C:/Users/HP/cnn/satellite_Images/IR_20250908_125230.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_125230.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_125230.jpg,,,,12.116666666666667
2025-09-08 14:07:30,C:/Users/HP/cnn/satellite_Images/IR_20250908_140730.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_140730.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_140730.jpg,,,,75.0
2025-09-08 14:10:24,C:/Users/HP/cnn/satellite_Images/IR_20250908_141024.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_141024.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_141024.jpg,,,,2.9
2025-09-08 14:22:30,C:/Users/HP/cnn/satellite_Images/IR_20250908_142230.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_142230.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_142230.jpg,,,,12.1
2025-09-08 17:07:30,C:/Users/HP/cnn/satellite_Images/IR_20250908_170730.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250908_170730.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250908_170730.jpg,,,,165.0
2025-09-09 09:07:30,C:/Users/HP/cnn/satellite_Images/IR_20250909_090730.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250909_090730.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250909_090730.jpg,,,,960.0
2025-09-09 09:10:24,C:/Users/HP/cnn/satellite_Images/IR_20250909_091024.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250909_091024.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250909_091024.jpg,,,,2.9
2025-09-09 09:22:30,C:/Users/HP/cnn/satellite_Images/IR_20250909_092230.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250909_092230.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250909_092230.jpg,,,,12.1
2025-09-09 09:40:25,C:/Users/HP/cnn/satellite_Images/IR_20250909_094025.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250909_094025.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250909_094025.jpg,,,,17.916666666666668
2025-09-10 10:28:00,C:/Users/HP/cnn/satellite_Images/IR_20250910_102800.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_102800.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_102800.jpg,,,,1487.5833333333333
2025-09-10 10:58:18,C:/Users/HP/cnn/satellite_Images/IR_20250910_105818.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_105818.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_105818.jpg,,,,30.3
2025-09-10 11:16:48,C:/Users/HP/cnn/satellite_Images/IR_20250910_111648.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_111648.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_111648.jpg,,,,18.5
2025-09-10 11:22:30,C:/Users/HP/cnn/satellite_Images/IR_20250910_112230.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_112230.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_112230.jpg,,,,5.7
2025-09-10 17:07:30,C:/Users/HP/cnn/satellite_Images/IR_20250910_170730.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_170730.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_170730.jpg,,,,345.0
2025-09-10 23:07:30,C:/Users/HP/cnn/satellite_Images/IR_20250910_230730.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_230730.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_230730.jpg,,,,360.0
2025-09-10 23:16:48,C:/Users/HP/cnn/satellite_Images/IR_20250910_231648.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_231648.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_231648.jpg,,,,9.3
2025-09-10 23:22:30,C:/Users/HP/cnn/satellite_Images/IR_20250910_232230.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250910_232230.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250910_232230.jpg,,,,5.7
2025-09-11 09:07:34,C:/Users/HP/cnn/satellite_Images/IR_20250911_090734.jpg,C:/Users/HP/cnn/satellite_Images/VIS_20250911_090734.jpg,C:/Users/HP/cnn/satellite_Images/WV_20250911_090734.jpg,,,,585.0666666666667
